date,Cd,Cw,M
6/1/2002,278.2200012,274.5299988,
6/2/2002,280.7399902,274.2200012,249.769989
6/3/2002,280.7399902,274.2200012,249.769989
6/4/2002,280,274.1900024,246.3933258
6/5/2002,279.2999878,274.1975098,248.6444244
6/6/2002,280.0133362,274.2025146,250.4194336
6/7/2002,279.9433289,273.2774963,253.5767822
6/8/2002,279.7522278,273.8924866,250.8802032
6/9/2002,279.824707,272.828125,251.2240906
6/10/2002,280.1300659,273.0095215,250.7427521
6/11/2002,279.9023132,273.2433777,250.9490204
6/12/2002,280.0967712,272.8102722,251.0439758
6/13/2002,280.0430603,273.0210876,250.911911
6/14/2002,279.3430176,272.7286682,251.1612244
6/15/2002,279.2032166,272.4250183,251.0390167
6/16/2002,279.5297852,272.7249451,250.6355286
6/17/2002,274.7065125,267.0096741,250.5514526
6/18/2002,277.8132019,270.7198792,250.7420044
6/19/2002,276.5523987,269.6461182,249.7097321
6/20/2002,276.3573914,269.1252136,250.3343964
6/21/2002,272.4907532,269.9552917,254.289032
6/22/2002,274.4726257,268.4841614,251.4443817
6/23/2002,275.5376892,270.156189,250.1169434
6/24/2002,275.4177856,270.1114197,250.8225861
6/25/2002,275.1427002,269.5839539,250.794632
6/26/2002,276.2445374,269.9804077,249.391037
6/27/2002,275.6016846,269.8919373,250.3360748
6/28/2002,275.6629639,269.8187561,250.1739044
6/29/2002,275.8363953,269.8970032,249.9669952
6/30/2002,276.6652832,269.0744019,248.3317413
7/1/2002,277.6811523,269.5800476,249.4908905
7/2/2002,276.7276306,269.5171814,250.5549011
7/3/2002,276.6110229,269.0878906,247.8418884
7/4/2002,277.0066223,269.39505,249.2958984
7/5/2002,277.6513062,269.5875244,247.9756775
7/6/2002,277.0896606,269.3568115,248.3711548
7/7/2002,273.9118958,266.789856,248.9656677
7/8/2002,275.6357117,264.4160461,248.4375
7/9/2002,276.1943359,265.5556946,249.9460754
7/10/2002,276.4279785,266.2203979,248.5098114
7/11/2002,276.0860291,265.3973694,248.9644623
7/12/2002,277.2745972,266.6233521,250.0475769
7/13/2002,276.5962219,266.0803833,249.1739502
7/14/2002,277.8566895,267.6252747,248.7639923
7/15/2002,277.2425232,266.7763367,249.3285065
7/16/2002,278.2813721,268.5079956,249.9216003
7/17/2002,278.9001465,269.1773987,249.338028
7/18/2002,278.1413574,268.1539001,249.7095337
7/19/2002,278.9432068,269.0623474,249.6997986
7/20/2002,278.6615906,268.7978821,249.5824432
7/21/2002,277.1715698,268.7560425,248.4979401
7/22/2002,278.2587891,268.8721008,249.2600555
7/23/2002,276.8654785,265.598999,251.920105
7/24/2002,278.1064453,268.9867859,249.8927002
7/25/2002,275.150177,268.8344727,251.2632141
7/26/2002,277.2530212,268.625061,251.6590118
7/27/2002,276.8365479,268.8154602,250.9383087
7/28/2002,277.2799377,269.4562378,253.7976379
7/29/2002,277.1231689,268.9656067,252.1316528
7/30/2002,277.0798645,269.0791016,252.2891998
7/31/2002,277.1609802,269.1669922,252.739502
8/1/2002,277.1213379,269.0705566,252.3867798
8/2/2002,277.1207275,269.1055603,252.471817
8/3/2002,277.1343689,269.1143799,252.5326996
8/4/2002,277.1254883,269.0968323,252.4637604
8/5/2002,277.1268616,269.1055908,252.4894257
8/6/2002,277.1289063,269.1055908,252.4953003
8/7/2002,277.1270752,269.1026611,252.4828339
8/8/2002,277.6181946,270.9084473,253.7893982
8/9/2002,278.0935364,271.0791626,252.9225311
8/10/2002,278.4571838,271.0950623,254.206192
8/11/2002,273.8847351,264.0556641,250.2020264
8/12/2002,276.8117981,268.7432861,252.4435883
8/13/2002,277.1034241,268.0184937,252.4229431
8/14/2002,275.9333191,266.9391479,251.6895294
8/15/2002,276.3621216,266.8052368,251.2015076
8/16/2002,276.4662781,267.254303,251.7713165
8/17/2002,276.8204346,267.3171692,250.5530853
8/18/2002,277.3947144,267.7316895,251.1753082
8/19/2002,276.8938293,267.4343872,250.8749237
8/20/2002,276.5947571,266.9332886,250.5383301
8/21/2002,276.9610901,267.3664551,250.862854
8/22/2002,274.5599365,264.7660217,250.3915253
8/23/2002,276.0386047,266.3552551,250.59758
8/24/2002,276.3049011,262.4844055,249.6405029
8/25/2002,276.8008423,265.536438,250.2098846
8/26/2002,274.5435791,264.351532,248.3995056
8/27/2002,275.9648132,264.1430969,250.2849731
8/28/2002,275.7697449,264.677002,249.6314545
8/29/2002,273.6470337,262.1829224,250.0714722
8/30/2002,275.1271973,263.6676636,249.9959717
8/31/2002,270.9609985,265.4418945,248.3022308
9/1/2002,273.2450867,263.7641602,249.4565582
9/2/2002,274.1958008,266.0084229,249.6911926
9/3/2002,271.6829529,262.1636047,249.1499786
9/4/2002,273.0412903,263.9787292,249.3319397
9/5/2002,275.2975159,265.9526978,250.1382751
9/6/2002,273.3405762,264.0316772,249.5400848
9/7/2002,275.289856,266.6232605,250.0025787
9/8/2002,274.6426392,265.5358887,249.893631
9/9/2002,273.9907837,265.02771,248.1665649
9/10/2002,275.4408264,266.4967041,249.354248
9/11/2002,274.2710571,266.4725647,247.8161011
9/12/2002,275.8006592,267.4317322,247.8067322
9/13/2002,275.1708679,266.8003235,248.3256836
9/14/2002,275.0808411,266.9015198,247.9828339
9/15/2002,275.3507996,267.0445251,248.0384064
9/16/2002,275.2008362,266.9154358,248.1156464
9/17/2002,275.2108154,266.9538269,248.045639
9/18/2002,275.2541504,266.971283,248.0665741
9/19/2002,275.2219238,266.9468689,248.075943
9/20/2002,275.2289734,266.9573059,249.2820435
9/21/2002,276.0137634,266.2563782,247.5736389
9/22/2002,275.4882507,266.7201843,248.3105469
9/23/2002,277.5452271,267.9659424,248.7640686
9/24/2002,276.3490906,266.980835,248.2160797
9/25/2002,277.0481567,266.2017517,247.6176758
9/26/2002,278.2206116,267.8771362,248.1992798
9/27/2002,278.5844421,268.144928,249.2332458
9/28/2002,279.5808105,269.4484253,248.2850342
9/29/2002,278.7952881,268.4901733,248.5725098
9/30/2002,280.2451477,269.8233948,248.2927094
10/1/2002,279.5404053,269.2539978,248.3834229
10/2/2002,280.2252197,268.6544189,248.3871613
10/3/2002,280.0035706,269.243927,248.3544312
10/4/2002,280.9447937,270.2305908,249.4037476
10/5/2002,280.9133911,270.012207,248.7151031
10/6/2002,280.620575,269.8288879,251.0733185
10/7/2002,281.5421753,270.9154053,250.6705322
10/8/2002,281.0253601,270.2521667,250.1529999
10/9/2002,281.0045166,271.2716064,249.5217133
10/10/2002,281.1906738,270.8130798,250.115097
10/11/2002,279.6026611,268.524231,248.4224548
10/12/2002,280.4019775,269.4272461,249.3530884
