Date,Q,RCMc,m
1/1/2002,260.1000061,,
1/2/2002,258.7000122,,
1/3/2002,257.5,,
1/4/2002,255.8999939,,
1/5/2002,255,,
1/6/2002,254.3000031,,
1/7/2002,254.1999969,,
1/8/2002,252.8999939,,
1/9/2002,253.3999939,,
1/10/2002,254.8999939,,
1/11/2002,251.8999939,,
1/12/2002,249.3999939,,
1/13/2002,252.3000031,,
1/14/2002,249.6999969,,
1/15/2002,248.5,,
1/16/2002,247.8000031,,
1/17/2002,249.6999969,,
1/18/2002,250.5,,
1/19/2002,253.6000061,,
1/20/2002,255.8999939,,
1/21/2002,253.8999939,,
1/22/2002,237.8999939,,
1/23/2002,201.1000061,,
1/24/2002,170.8999939,,
1/25/2002,155.8999939,,
1/26/2002,153.6999969,,
1/27/2002,151.3000031,,
1/28/2002,151,,
1/29/2002,147.6000061,,
1/30/2002,137.1999969,,
1/31/2002,123.4000015,,
2/1/2002,116,,
2/2/2002,118.9000015,,
2/3/2002,132.3000031,,
2/4/2002,137.1000061,,
2/5/2002,137.8999939,,
2/6/2002,141.5,,
2/7/2002,139.5,,
2/8/2002,138.5,,
2/9/2002,141.8999939,,
2/10/2002,144.3999939,,
2/11/2002,142.3000031,,
2/12/2002,140.3000031,,
2/13/2002,137.8999939,,
2/14/2002,136.8999939,,
2/15/2002,137.8000031,,
2/16/2002,137.3000031,,
2/17/2002,134.3000031,,
2/18/2002,135.1999969,,
2/19/2002,140,,
2/20/2002,145.6000061,,
2/21/2002,147.5,,
2/22/2002,148,,
2/23/2002,148.8000031,,
2/24/2002,148,,
2/25/2002,143.6000061,,
2/26/2002,139.1000061,,
2/27/2002,133.8999939,,
2/28/2002,131.6000061,,
3/1/2002,129.8999939,,
3/2/2002,129.6999969,,
3/3/2002,135.3000031,,
3/4/2002,150.8000031,,
3/5/2002,161.8999939,,
3/6/2002,157.6999969,,
3/7/2002,147.5,,
3/8/2002,141.1999969,,
3/9/2002,138.5,,
3/10/2002,123.8000031,,
3/11/2002,107.3000031,,
3/12/2002,94.62999725,,
3/13/2002,93.41999817,,
3/14/2002,99.41999817,,
3/15/2002,112.5999985,,
3/16/2002,123.5999985,,
3/17/2002,131.6000061,,
3/18/2002,141.5,,
3/19/2002,144.6999969,,
3/20/2002,147.8999939,,
3/21/2002,151.3999939,,
3/22/2002,151.1000061,,
3/23/2002,148.3000031,,
3/24/2002,149.5,,
3/25/2002,145.6000061,,
3/26/2002,132.6000061,,
3/27/2002,115.1999969,,
3/28/2002,108.0999985,,
3/29/2002,103.3000031,,
3/30/2002,98.58000183,,
3/31/2002,96.94000244,,
4/1/2002,98.91999817,,
4/2/2002,104.3000031,,
4/3/2002,111.3000031,,
4/4/2002,117.9000015,,
4/5/2002,124.3000031,,
4/6/2002,128.1000061,,
4/7/2002,125.0999985,,
4/8/2002,122.4000015,,
4/9/2002,121.4000015,,
4/10/2002,122.4000015,,
4/11/2002,124,,
4/12/2002,124.9000015,,
4/13/2002,125.6999969,,
4/14/2002,125.5999985,,
4/15/2002,124.1999969,,
4/16/2002,124.1999969,,
4/17/2002,124,,
4/18/2002,122.5999985,,
4/19/2002,121.3000031,,
4/20/2002,121.1999969,,
4/21/2002,120.3000031,,
4/22/2002,121.9000015,,
4/23/2002,123.1999969,,
4/24/2002,122.9000015,,
4/25/2002,119.0999985,,
4/26/2002,116.5,,
4/27/2002,116.6999969,,
4/28/2002,119.6999969,,
4/29/2002,121.0999985,,
4/30/2002,124.1999969,,
5/1/2002,123.0999985,,
5/2/2002,122.6999969,,
5/3/2002,121.6999969,,
5/4/2002,122.8000031,,
5/5/2002,122.0999985,,
5/6/2002,121,,
5/7/2002,120,,
5/8/2002,120.9000015,,
5/9/2002,125.8000031,,
5/10/2002,131,,
5/11/2002,129.3000031,,
5/12/2002,123.1999969,,
5/13/2002,120.8000031,,
5/14/2002,120.5,,
5/15/2002,120.3000031,,
5/16/2002,122.8000031,,
5/17/2002,124.8000031,,
5/18/2002,124.4000015,,
5/19/2002,124.0999985,,
5/20/2002,123.1999969,,
5/21/2002,121.5,,
5/22/2002,122.5999985,,
5/23/2002,124.8000031,,
5/24/2002,125.4000015,,
5/25/2002,126,,
5/26/2002,124,,
5/27/2002,123,,
5/28/2002,123.9000015,,
5/29/2002,122.0999985,,
5/30/2002,122,,
5/31/2002,122.1999969,,
6/1/2002,121.9000015,,-1.7445762
6/2/2002,123.3000031,0.21052596,-0.5719632
6/3/2002,124.3000031,0.21052596,-0.5719632
6/4/2002,123.5,0.17288226,-0.86545795
6/5/2002,122.9000015,0.16644542,-1.1582764
6/6/2002,127.3000031,0.19635199,-0.86522806
6/7/2002,132.8000031,0.25281402,-0.50211954
6/8/2002,143.8000031,0.20295568,-0.84224886
6/9/2002,133.3000031,0.24463046,-0.36001125
6/10/2002,126.0999985,0.24229994,-0.3104282
6/11/2002,124.3000031,0.22998889,-0.5046352
6/12/2002,125,0.25080198,-0.2392456
6/13/2002,133.3000031,0.24104688,-0.3515175
6/14/2002,143.3999939,0.23470293,-0.51795745
6/15/2002,140.8999939,0.24066716,-0.44665307
6/16/2002,131.1999969,0.2355084,-0.43867326
6/17/2002,133.3000031,0.3186429,0.000946757
6/18/2002,129.8000031,0.2620247,-0.29680842
6/19/2002,124.5999985,0.2572874,-0.36367655
6/20/2002,123.1999969,0.27791488,-0.22066209
6/21/2002,127.3000031,0.13929789,-2.20397
6/22/2002,137.5,0.2600487,-0.7389441
6/23/2002,136.6000061,0.21169718,-1.0095139
6/24/2002,138.8999939,0.21574804,-1.0407027
6/25/2002,180,0.22830339,-0.9301215
6/26/2002,240.8999939,0.23327051,-0.63712716
6/27/2002,280.5,0.2259889,-0.8693126
6/28/2002,317.6000061,0.22928299,-0.8121285
6/29/2002,326.2999878,0.22959141,-0.7728245
6/30/2002,273.1000061,0.2679115,-0.06882926
7/1/2002,222.3000031,0.28737244,0.1399037
7/2/2002,190.1999969,0.27549472,-0.23424129
7/3/2002,197.8000031,0.26150012,-0.09755658
7/4/2002,206.5,0.27467966,-0.06393317
7/5/2002,249,0.27173078,0.12409284
7/6/2002,292.5,0.26926363,-0.012388997
7/7/2002,319.5,0.28549567,-0.24080098
7/8/2002,368.1000061,0.41251484,1.5446076
7/9/2002,369.5,0.40530843,1.275715
7/10/2002,361.3999939,0.36562502,1.0806559
7/11/2002,357.1000061,0.39410186,1.2998031
7/12/2002,332.7000122,0.3912013,1.2628796
7/13/2002,309,0.38347802,1.2143922
7/14/2002,330.7000122,0.35168326,1.0679288
7/15/2002,380.8999939,0.37494376,1.1815667
7/16/2002,403.7999878,0.34462112,0.86012906
7/17/2002,382.1000061,0.3288921,0.82850736
7/18/2002,364.6000061,0.3512774,0.9561573
7/19/2002,384.6000061,0.3378833,0.8969309
7/20/2002,571.9000244,0.33920214,0.89379305
7/21/2002,702.2999878,0.29349363,0.283094
7/22/2002,626.2999878,0.32369304,0.6913628
7/23/2002,493.7000122,0.45164606,1.5431604
7/24/2002,407.3999939,0.32323462,0.57703507
7/25/2002,353.8999939,0.26439965,-0.6041394
7/26/2002,317.7999878,0.33710858,0.3745372
7/27/2002,302.6000061,0.30971557,0.115829
7/28/2002,299.7000122,0.33317435,0.024656266
7/29/2002,293.2000122,0.32641327,0.17149833
7/30/2002,291.2000122,0.3227329,0.103940435
7/31/2002,293.7000122,0.3273343,0.099977575
8/1/2002,319.2000122,0.32548717,0.12513427
8/2/2002,413.7000122,0.3251733,0.10967508
8/3/2002,478.2999878,0.3259937,0.111595646
8/4/2002,474.7000122,0.32555124,0.115477346
8/5/2002,605,0.32557246,0.11224485
8/6/2002,736.9000244,0.3257061,0.11311045
8/7/2002,723.5999756,0.3256101,0.113610886
8/8/2002,761.5999756,0.28158146,-0.45951545
8/9/2002,859.9000244,0.2786688,-0.3337996
8/10/2002,1078,0.30358022,-0.18843177
8/11/2002,1156,0.41503155,0.95368224
8/12/2002,1216,0.33110812,0.13675234
8/13/2002,1256,0.36810184,0.5762371
8/14/2002,1255,0.37098867,0.5532039
8/15/2002,1149,0.37983513,0.7944106
8/16/2002,994.7000122,0.37303054,0.64117116
8/17/2002,859.2999878,0.36179003,0.7638709
8/18/2002,830.0999756,0.36854476,0.82532895
8/19/2002,1021,0.36356035,0.7435156
8/20/2002,971.5999756,0.3707902,0.83691996
8/21/2002,910.0999756,0.36763537,0.8019035
8/22/2002,1094,0.40523618,0.92729473
8/23/2002,1305,0.38061947,0.85515183
8/24/2002,1238,0.5183127,2.7042232
8/25/2002,1120,0.42361784,1.5434173
8/26/2002,1017,0.3898416,1.1047441
8/27/2002,917,0.46035007,1.8081849
8/28/2002,903.0999756,0.4243867,1.4854623
8/29/2002,1200,0.48627096,1.6913955
8/30/2002,1379,0.45598787,1.6614915
8/31/2002,1381,0.24357477,-0.9105642
9/1/2002,1274,0.39855036,0.8085984
9/2/2002,1188,0.33411583,0.22247446
9/3/2002,1132,0.422463,0.8501205
9/4/2002,1170,0.38223574,0.6254685
9/5/2002,1392,0.37142688,0.7169793
9/6/2002,1723,0.39112213,0.73054504
9/7/2002,1951,0.34272552,0.41834503
9/8/2002,2198,0.36796427,0.62151915
9/9/2002,2371,0.34708014,0.5674728
9/10/2002,2366,0.342863,0.5382451
9/11/2002,2223,0.2947838,0.05081382
9/12/2002,2025,0.29895508,0.28091642
9/13/2002,1839,0.31180805,0.2900053
9/14/2002,1784,0.30184218,0.20736691
9/15/2002,1828,0.30412108,0.25943857
9/16/2002,1748,0.3059015,0.25227025
9/17/2002,1686,0.3039549,0.23969191
9/18/2002,1582,0.30465633,0.2504579
9/19/2002,1479,0.30483535,0.24745533
9/20/2002,1385,0.31879175,0.24588642
9/21/2002,1374,0.34308517,0.88823426
9/22/2002,1385,0.32261983,0.46016467
9/23/2002,1388,0.3328318,0.78629553
9/24/2002,1369,0.3329987,0.71158284
9/25/2002,1348,0.36854324,1.3532274
9/26/2002,1321,0.34453753,1.1113038
9/27/2002,1267,0.35567594,1.1475646
9/28/2002,1198,0.32376206,0.9968814
9/29/2002,1126,0.3409718,1.0850922
9/30/2002,1015,0.32616454,1.1126293
10/1/2002,882.0999756,0.33014774,1.0648586
10/2/2002,806.4000244,0.36342672,1.6169534
10/3/2002,749,0.3399664,1.264435
10/4/2002,628.2999878,0.3396908,1.22881
10/5/2002,526,0.3385641,1.3110155
10/6/2002,465.6000061,0.36523482,1.2680868
10/7/2002,446.6000061,0.3442243,1.1808228
10/8/2002,458.6000061,0.34895918,1.2532092
10/9/2002,471.2999878,0.30915004,0.80113256
10/10/2002,469.2000122,0.33394694,1.0781132
10/11/2002,460.2000122,0.3553033,1.411277
10/12/2002,468.3999939,0.35346615,1.351929
10/13/2002,467,0.34682238,1.1969988
10/14/2002,469.7999878,0.33713788,1.3297478
10/15/2002,461,0.34567794,1.2928513
10/16/2002,447.3999939,0.33028838,1.0910432
10/17/2002,458.5,0.33768886,1.2377635
10/18/2002,482.2999878,0.3545741,1.2118088
10/19/2002,467.7000122,0.3406353,1.1801602
10/20/2002,417.7999878,0.32641238,1.0371997
10/21/2002,377.5,0.30499724,0.6574959
10/22/2002,353.2000122,0.31101936,0.9579291
10/23/2002,340.6000061,0.29125568,0.8598721
10/24/2002,333.1000061,0.30222124,0.82497734
10/25/2002,338.7999878,0.30633217,0.7840233
10/26/2002,350.7999878,0.29975954,0.82293504
10/27/2002,340.3999939,0.29119998,0.68765694
10/28/2002,310.2000122,0.29036567,0.54420966
10/29/2002,274.3999939,0.27090946,0.5186472
10/30/2002,251.6000061,0.26535437,0.5045811
10/31/2002,250,0.2751897,0.52248836
11/1/2002,252.6999969,0.28963286,0.5037696
11/2/2002,254.3000031,0.27635708,0.51030225
11/3/2002,263.6000061,0.25641274,0.4189131
11/4/2002,271.6000061,0.2736113,0.47776082
11/5/2002,268.8999939,0.258191,0.348569
11/6/2002,256.3999939,0.26456165,0.2752359
11/7/2002,233.3999939,0.25182608,0.36745006
11/8/2002,225,0.24105375,0.15099427
11/9/2002,228.3000031,0.2522548,0.2647404
11/10/2002,226.8000031,0.235123,0.16978064
11/11/2002,218.1000061,0.24269985,0.19520785
11/12/2002,208.8999939,0.23844874,0.14366367
11/13/2002,205.6000061,0.23232149,-0.013957908
11/14/2002,204.6000061,0.2400635,0.087304555
11/15/2002,209.6000061,0.24482453,0.057319395
11/16/2002,225.3000031,0.23901166,0.043537315
11/17/2002,225.8999939,0.24320929,-0.10867422
11/18/2002,220.1000061,0.24231496,-0.00256977
11/19/2002,216.3999939,0.24146895,-0.022546351
11/20/2002,211.1000061,0.24232203,-0.044578746
11/21/2002,204.6999969,0.2235362,-0.23735207
11/22/2002,207.6000061,0.23383284,-0.21187077
11/23/2002,220.1999969,0.22062439,-0.16457348
11/24/2002,224.6000061,0.19914936,-0.32564396
11/25/2002,223.3999939,0.21716866,-0.2340249
11/26/2002,224.3999939,0.20801458,-0.2839596
11/27/2002,216.8000031,0.20794223,-0.281214
11/28/2002,206.3999939,0.20020875,-0.42567563
11/29/2002,204.1000061,0.19716455,-0.48375243
11/30/2002,211.3999939,0.18208626,-0.62204665
12/1/2002,216,0.1895126,-0.5712328
12/2/2002,216.8999939,0.1895174,-0.5589926
12/3/2002,213,0.17884704,-0.6514502
12/4/2002,204.1000061,0.1859022,-0.5938603
12/5/2002,189.8999939,0.17095311,-0.6544934
12/6/2002,179.8000031,0.1784227,-0.6332319
12/7/2002,197.5,0.14844096,-0.9292829
12/8/2002,213,0.15706265,-0.8259917
12/9/2002,216.8999939,0.16867934,-0.79623646
12/10/2002,204.6999969,0.15223555,-1.0879594
12/11/2002,194.3000031,0.15931861,-0.90370697
12/12/2002,198.8000031,0.16732171,-1.1187426
12/13/2002,212.8999939,0.15935281,-1.0369563
12/14/2002,219.3000031,0.17393774,-1.0864853
12/15/2002,209.3999939,0.16285703,-1.1193377
12/16/2002,204.1999969,0.17151587,-1.0365912
12/17/2002,207.8000031,0.1656996,-1.0224303
12/18/2002,207.5,0.1666557,-1.0595026
12/19/2002,211.8000031,0.15393145,-1.0902587
12/20/2002,210.6000061,0.16194881,-1.0573657
12/21/2002,205.8999939,0.15021555,-1.0419201
12/22/2002,202.6999969,0.15521678,-1.0632086
12/23/2002,217,0.13578357,-1.1721532
12/24/2002,244.6999969,0.15095173,-1.0771935
12/25/2002,248.6999969,0.13970317,-1.1041219
12/26/2002,240.6999969,0.14438467,-1.0744208
12/27/2002,235.5,0.14488427,-1.0852815
12/28/2002,233.6000061,0.13476838,-1.1714228
12/29/2002,232.6999969,0.14128801,-1.1103435
12/30/2002,233.6000061,0.14162062,-1.1577355
12/31/2002,235.6000061,0.13995554,-1.1807553
1/1/2003,235.8999939,0.13998897,-1.1323624
1/2/2003,231.5,0.15050007,-1.037876
1/3/2003,228.6000061,0.14342941,-1.1171196
1/4/2003,228.6999969,0.14467098,-1.0400941
1/5/2003,227.8999939,0.14616774,-1.065102
1/6/2003,232.1999969,0.14531863,-1.0997398
1/7/2003,232.3999939,0.14538167,-1.0683075
1/8/2003,226.8999939,0.14449106,-1.0955335
1/9/2003,217.6999969,0.14424403,-1.1379617
1/10/2003,216.3000031,0.14169303,-1.1005784
1/11/2003,226.3000031,0.13718769,-1.1974722
1/12/2003,225.3000031,0.14101948,-1.1453465
1/13/2003,214.1999969,0.15610413,-1.1037973
1/14/2003,203.6999969,0.14446375,-1.1488495
1/15/2003,193.8000031,0.13625729,-1.3932751
1/16/2003,185.8000031,0.13103203,-1.3849708
