,0
2010-01-01,986621
2010-01-02,989001
2010-01-03,989001
2010-01-04,988940
2010-01-05,988409
2010-01-06,987528
2010-01-07,988165
2010-01-08,988501
2010-01-09,990507
2010-01-10,990507
2010-01-11,989463
2010-01-12,989463
2010-01-13,986664
2010-01-14,987667
2010-01-15,986981
2010-01-16,986517
2010-01-17,986649
2010-01-18,985201
2010-01-19,985201
2010-01-20,986919
2010-01-21,987547
2010-01-22,988496
2010-01-24,989043
2010-01-25,987021
2010-01-26,987021
2010-01-27,987226
2010-01-28,987226
2010-01-29,989801
2010-01-30,990569
2010-01-31,989388
2010-02-01,990391
2010-02-02,990906
2010-02-03,989647
2010-02-04,989647
2010-02-05,-32000
2010-02-06,986181
2010-02-07,986181
2010-02-08,987968
2010-02-09,987968
2010-02-10,990955
2010-02-11,990955
2010-02-12,987934
2010-02-13,987934
2010-02-14,987293
2010-02-15,989121
2010-02-16,991526
2010-02-17,992241
2010-02-18,992845
2010-02-19,994042
2010-02-20,994042
2010-02-21,992601
2010-02-22,991432
2010-02-23,988388
2010-02-24,987927
2010-02-25,987097
2010-02-26,990722
2010-02-27,990722
2010-02-28,993133
2010-03-01,993133
2010-03-02,982660
2010-03-03,986082
2010-03-04,981904
2010-03-05,987690
2010-03-06,992104
2010-03-07,993474
2010-03-08,993474
2010-03-09,991706
2010-03-10,990687
2010-03-11,990354
2010-03-12,991286
2010-03-13,990808
2010-03-14,991722
2010-03-15,991722
2010-03-16,992000
2010-03-17,992000
2010-03-18,990312
2010-03-19,989340
2010-03-20,986900
2010-03-21,991103
2010-03-22,992811
2010-03-23,994365
2010-03-24,994365
2010-03-25,988224
2010-03-26,988224
2010-03-27,986166
2010-03-28,987714
2010-03-29,988544
2010-03-30,991011
2010-03-31,991011
2010-04-01,991485
2010-04-02,991485
2010-04-03,988296
2010-04-04,989228
2010-04-05,988852
2010-04-06,990939
2010-04-07,992039
2010-04-08,994650
2010-04-09,994650
2010-04-10,995896
2010-04-11,996072
2010-04-12,995862
2010-04-13,994957
2010-04-14,994196
2010-04-15,994950
2010-04-16,994950
2010-04-17,996369
2010-04-18,996369
2010-04-19,963908
2010-04-20,966014
2010-04-21,949603
2010-04-22,964150
2010-04-23,978544
2010-04-24,989791
2010-04-25,989791
2010-04-26,990279
2010-04-27,990891
2010-04-28,989230
2010-04-29,992814
2010-04-30,995225
2010-05-01,995490
2010-05-02,995490
2010-05-03,992891
2010-05-04,992891
2010-05-05,991990
2010-05-06,993390
2010-05-07,992865
2010-05-08,993363
2010-05-09,993736
2010-05-10,994089
2010-05-11,994089
2010-05-12,994484
2010-05-13,994588
2010-05-14,994374
2010-05-15,993462
2010-05-16,993322
2010-05-17,992931
2010-05-18,992931
2010-05-19,994611
2010-05-20,994611
2010-05-21,994391
2010-05-22,994433
2010-05-23,994573
2010-05-24,998613
2010-05-25,998935
2010-05-26,998649
2010-05-27,998649
2010-05-28,991726
2010-05-29,991601
2010-05-30,989250
