,0
2010-01-01,998341
2010-01-02,998897
2010-01-03,998897
2010-01-04,999262
2010-01-05,998635
2010-01-06,998151
2010-01-07,998631
2010-01-08,998706
2010-01-09,998485
2010-01-10,998485
2010-01-11,997643
2010-01-12,997643
2010-01-13,998894
2010-01-14,997897
2010-01-15,998336
2010-01-16,998037
2010-01-17,996293
2010-01-18,997040
2010-01-19,997040
2010-01-20,996981
2010-01-21,997967
2010-01-22,997855
2010-01-24,997772
2010-01-25,997819
2010-01-26,997819
2010-01-27,998454
2010-01-28,998454
2010-01-29,1000000
2010-01-30,1000293
2010-01-31,999670
2010-02-01,998830
2010-02-02,997699
2010-02-03,994406
2010-02-04,994406
2010-02-05,-32000
2010-02-06,995203
2010-02-07,995203
2010-02-08,996600
2010-02-09,996600
2010-02-10,997830
2010-02-11,997830
2010-02-12,997719
2010-02-13,997719
2010-02-14,997869
2010-02-15,998424
2010-02-16,998064
2010-02-17,997996
2010-02-18,998038
2010-02-19,996425
2010-02-20,996425
2010-02-21,996824
2010-02-22,998264
2010-02-23,998299
2010-02-24,997686
2010-02-25,997831
2010-02-26,998079
2010-02-27,998079
2010-02-28,996728
2010-03-01,996728
2010-03-02,983989
2010-03-03,989865
2010-03-04,985937
2010-03-05,991850
2010-03-06,998627
2010-03-07,999274
2010-03-08,999274
2010-03-09,997971
2010-03-10,997462
2010-03-11,996627
2010-03-12,997422
2010-03-13,996694
2010-03-14,996987
2010-03-15,996987
2010-03-16,997090
2010-03-17,997090
2010-03-18,998903
2010-03-19,998539
2010-03-20,998029
2010-03-21,998842
2010-03-22,998454
2010-03-23,998815
2010-03-24,998815
2010-03-25,997455
2010-03-26,997455
2010-03-27,997086
2010-03-28,996937
2010-03-29,996351
2010-03-30,996834
2010-03-31,996834
2010-04-01,997244
2010-04-02,997244
2010-04-03,997678
2010-04-04,996844
2010-04-05,997348
2010-04-06,996919
2010-04-07,996200
2010-04-08,997128
2010-04-09,997128
2010-04-10,998464
2010-04-11,998106
2010-04-12,996610
2010-04-13,996744
2010-04-14,996773
2010-04-15,996597
2010-04-16,996597
2010-04-17,997614
2010-04-18,997614
2010-04-19,997724
2010-04-20,988095
2010-04-21,979549
2010-04-22,986240
2010-04-23,974876
2010-04-24,993111
2010-04-25,993111
2010-04-26,997383
2010-04-27,997385
2010-04-28,997526
2010-04-29,999787
2010-04-30,999575
2010-05-01,1000284
2010-05-02,1000284
2010-05-03,998149
2010-05-04,998149
2010-05-05,996975
2010-05-06,997619
2010-05-07,997159
2010-05-08,996698
2010-05-09,995293
2010-05-10,995752
2010-05-11,995752
2010-05-12,997878
2010-05-13,998585
2010-05-14,998938
2010-05-15,998833
2010-05-16,999293
2010-05-17,997667
2010-05-18,997667
2010-05-19,997979
2010-05-20,997979
2010-05-21,999290
2010-05-22,998971
2010-05-23,999787
2010-05-24,998614
2010-05-25,996699
2010-05-26,996871
2010-05-27,996871
2010-05-28,997620
2010-05-29,997625
2010-05-30,995792
2010-05-31,999183
2010-06-01,998513
2010-06-02,996241
2010-06-03,996241
2010-06-04,988799
2010-06-05,988799
2010-06-06,988652
2010-06-07,992261
2010-06-08,995881
2010-06-09,996828
2010-06-10,996256
2010-06-11,996532
2010-06-12,996532
2010-06-13,998611
2010-06-14,996643
2010-06-15,994936
2010-06-16,996076
2010-06-17,994351
2010-06-18,997501
2010-06-19,997501
2010-06-20,999465
2010-06-21,999465
2010-06-22,996808
2010-06-23,996454
2010-06-24,994612
2010-06-25,998420
2010-06-26,996044
2010-06-27,996724
2010-06-28,996724
2010-06-29,1000106
2010-06-30,997641
2010-07-01,995707
2010-07-02,997219
2010-07-03,994712
2010-07-04,997935
2010-07-05,997935
2010-07-06,997508
2010-07-07,997508
2010-07-08,998371
2010-07-09,998365
2010-07-10,997259
2010-07-11,998961
2010-07-12,998059
2010-07-13,998016
2010-07-14,998016
2010-07-15,998213
2010-07-16,999641
2010-07-17,999642
2010-07-18,999390
2010-07-19,998918
2010-07-20,990672
2010-07-21,990672
2010-07-22,993149
2010-07-23,993149
2010-07-24,1001106
2010-07-25,1000321
2010-07-26,1000000
2010-07-27,967966
2010-07-28,951379
2010-07-29,950958
2010-07-30,950958
2010-07-31,1000000
2010-08-01,998673
2010-08-02,998599
2010-08-03,1000359
2010-08-04,1000000
2010-08-05,991795
2010-08-06,991795
2010-08-07,991791
2010-08-08,991791
2010-08-09,997205
2010-08-10,998924
2010-08-11,998636
2010-08-12,998706
2010-08-13,998527
2010-08-14,1000071
2010-08-16,999534
2010-08-17,999283
2010-08-18,997668
2010-08-19,997086
2010-08-20,995868
2010-08-21,997523
2010-08-22,997523
2010-08-23,998465
2010-08-24,998465
2010-08-25,997013
2010-08-26,998524
2010-08-27,998015
2010-08-28,997623
2010-08-29,997167
2010-08-30,997147
2010-08-31,997147
2010-09-01,998250
2010-09-02,998361
2010-09-03,997752
2010-09-04,997043
2010-09-05,996487
2010-09-06,996093
2010-09-07,996093
2010-09-08,999180
2010-09-09,999180
2010-09-10,999106
2010-09-11,999069
2010-09-12,998566
2010-09-13,998319
2010-09-14,997500
2010-09-15,998326
2010-09-16,998326
2010-09-17,993401
2010-09-18,993091
2010-09-19,989336
2010-09-20,985966
2010-09-21,985289
2010-09-22,989202
2010-09-23,989202
2010-09-24,1000605
2010-09-25,1000605
2010-09-26,999893
2010-09-27,996991
2010-09-28,995475
2010-09-29,995907
2010-09-30,992873
2010-10-01,996175
2010-10-02,996175
2010-10-03,998368
2010-10-04,997981
2010-10-05,997208
2010-10-06,996012
2010-10-07,995031
2010-10-08,997111
2010-10-09,997111
2010-10-10,998176
2010-10-11,998176
2010-10-12,996745
2010-10-13,995257
2010-10-14,995468
2010-10-15,995915
2010-10-16,993847
2010-10-17,995373
2010-10-18,995373
2010-10-19,997417
2010-10-20,997031
2010-10-21,997672
2010-10-22,997598
2010-10-23,996854
2010-10-24,997012
2010-10-25,997012
2010-10-26,999038
2010-10-27,999038
2010-10-28,999538
2010-10-29,999183
2010-10-30,997765
2010-10-31,997502
2010-11-01,996991
2010-11-02,999676
2010-11-03,999676
2010-11-04,1002487
2010-11-05,1001963
2010-11-06,1001426
2010-11-07,1001256
2010-11-08,1000000
2010-11-09,999529
2010-11-10,999529
2010-11-11,996399
2010-11-12,996399
2010-11-13,996950
2010-11-14,996870
2010-11-15,998704
