,0
2010-01-01,848948
2010-01-02,907692
2010-01-03,907692
2010-01-04,914299
2010-01-05,878859
2010-01-06,845017
2010-01-07,836471
2010-01-08,814058
2010-01-09,822425
2010-01-10,822425
2010-01-11,828392
2010-01-12,828392
2010-01-13,862493
2010-01-14,860577
2010-01-15,874801
2010-01-16,875250
2010-01-17,865986
2010-01-18,858195
2010-01-19,858195
2010-01-20,869876
2010-01-21,854168
2010-01-22,860856
2010-01-24,824141
2010-01-25,845881
2010-01-26,845881
2010-01-27,886549
2010-01-28,886549
2010-01-29,906074
2010-01-30,882575
2010-01-31,869191
2010-02-01,869347
2010-02-02,851187
2010-02-03,867673
2010-02-04,867673
2010-02-05,-32000
2010-02-06,821403
2010-02-07,821403
2010-02-08,825782
2010-02-09,825782
2010-02-10,851268
2010-02-11,851268
2010-02-12,879051
2010-02-13,879051
2010-02-14,885493
2010-02-15,889950
2010-02-16,891185
2010-02-17,889075
2010-02-18,891256
2010-02-19,891761
2010-02-20,891761
2010-02-21,904612
2010-02-22,870568
2010-02-23,856507
2010-02-24,870138
2010-02-25,850451
2010-02-26,928377
2010-02-27,928377
2010-02-28,955486
2010-03-01,955486
2010-03-02,939811
2010-03-03,916243
2010-03-04,897246
2010-03-05,872104
2010-03-06,840965
2010-03-07,848892
2010-03-08,848892
2010-03-09,908075
2010-03-10,879787
2010-03-11,878514
2010-03-12,880363
2010-03-13,853079
2010-03-14,891680
2010-03-15,891680
2010-03-16,890052
2010-03-17,890052
2010-03-18,888836
2010-03-19,876143
2010-03-20,873874
2010-03-21,893320
2010-03-22,889739
2010-03-23,916792
2010-03-24,916792
2010-03-25,875970
2010-03-26,875970
2010-03-27,848053
2010-03-28,845459
2010-03-29,842367
2010-03-30,850198
2010-03-31,850198
2010-04-01,883663
2010-04-02,883663
2010-04-03,885346
2010-04-04,882841
2010-04-05,869041
2010-04-06,883075
2010-04-07,893680
2010-04-08,888669
2010-04-09,888669
2010-04-10,896261
2010-04-11,882892
2010-04-12,891607
2010-04-13,900457
2010-04-14,886516
2010-04-15,947161
2010-04-16,947161
2010-04-17,932858
2010-04-18,932858
2010-04-19,908754
2010-04-20,929399
2010-04-21,946746
2010-04-22,943142
2010-04-23,948268
2010-04-24,924797
2010-04-25,924797
2010-04-26,923587
2010-04-27,914895
2010-04-28,913744
2010-04-29,915201
2010-04-30,906470
2010-05-01,931924
2010-05-02,931924
2010-05-03,944126
2010-05-04,944126
2010-05-05,945106
2010-05-06,940255
2010-05-07,941038
2010-05-08,950260
2010-05-09,948727
2010-05-10,950805
2010-05-11,950805
2010-05-12,936386
2010-05-13,924238
2010-05-14,919047
2010-05-15,927013
2010-05-16,921562
2010-05-17,956675
2010-05-18,956675
2010-05-19,973687
2010-05-20,973687
2010-05-21,958200
2010-05-22,947139
2010-05-23,932293
2010-05-24,951030
2010-05-25,955281
2010-05-26,975790
2010-05-27,975790
2010-05-28,965563
2010-05-29,946695
2010-05-30,936266
2010-05-31,935545
2010-06-01,919009
2010-06-02,946705
2010-06-03,946705
2010-06-04,961059
2010-06-05,961059
2010-06-06,962069
2010-06-07,954956
2010-06-08,949074
2010-06-09,950479
2010-06-10,942313
2010-06-11,953999
2010-06-12,953999
2010-06-13,968066
2010-06-14,956722
2010-06-15,955664
2010-06-16,958987
2010-06-17,946819
2010-06-18,972398
2010-06-19,972398
2010-06-20,978810
2010-06-21,978810
2010-06-22,959786
2010-06-23,945489
2010-06-24,928685
2010-06-25,938723
2010-06-26,936751
2010-06-27,962432
2010-06-28,962432
2010-06-29,974804
2010-06-30,952612
2010-07-01,943402
2010-07-02,948871
2010-07-03,932573
2010-07-04,956529
2010-07-05,956529
2010-07-06,970286
2010-07-07,970286
2010-07-08,990121
2010-07-09,980633
2010-07-10,976687
2010-07-11,976687
2010-07-12,966618
2010-07-13,982323
2010-07-14,982323
2010-07-15,991961
2010-07-16,978222
2010-07-17,971367
2010-07-18,970911
2010-07-19,957496
2010-07-20,959245
2010-07-21,959245
2010-07-22,973930
2010-07-23,973930
2010-07-24,996248
2010-07-25,974823
2010-07-26,964767
2010-07-27,965708
2010-07-28,947406
2010-07-29,977071
2010-07-30,977071
2010-07-31,990500
2010-08-01,979102
2010-08-02,974364
2010-08-03,967356
2010-08-04,954105
2010-08-05,941805
2010-08-06,941805
2010-08-07,959247
2010-08-08,959247
2010-08-09,993323
2010-08-10,978504
2010-08-11,972935
2010-08-12,972223
2010-08-13,959204
2010-08-14,986355
2010-08-16,998386
2010-08-17,986197
2010-08-18,978087
2010-08-19,968657
2010-08-20,954210
2010-08-21,971570
2010-08-22,971570
2010-08-23,993743
2010-08-24,993743
2010-08-25,994997
2010-08-26,977531
2010-08-27,969336
2010-08-28,970641
2010-08-29,957905
2010-08-30,972911
2010-08-31,972911
2010-09-01,984449
2010-09-02,970692
2010-09-03,969310
2010-09-04,973002
2010-09-05,960834
2010-09-06,983926
2010-09-07,983926
2010-09-08,990622
2010-09-09,990622
2010-09-10,992886
2010-09-11,973533
2010-09-12,962714
2010-09-13,962457
2010-09-14,946564
2010-09-15,969719
2010-09-16,969719
2010-09-17,988749
2010-09-18,966568
2010-09-19,959570
2010-09-20,950693
2010-09-21,928044
2010-09-22,955011
2010-09-23,955011
2010-09-24,981373
2010-09-25,981373
2010-09-26,990295
2010-09-27,962361
2010-09-28,950086
2010-09-29,959149
2010-09-30,941997
2010-10-01,980723
2010-10-02,980723
2010-10-03,989658
2010-10-04,968995
2010-10-05,960377
2010-10-06,939920
2010-10-07,913186
2010-10-08,936655
2010-10-09,936655
2010-10-10,979782
2010-10-11,979782
2010-10-12,989099
2010-10-13,951300
2010-10-14,935714
2010-10-15,932667
2010-10-16,901352
2010-10-17,950673
2010-10-18,950673
2010-10-19,983924
2010-10-20,963466
2010-10-21,958577
2010-10-22,939905
2010-10-23,913075
2010-10-24,931745
2010-10-25,931745
2010-10-26,966711
2010-10-27,966711
2010-10-28,980885
2010-10-29,958254
2010-10-30,951022
2010-10-31,922150
2010-11-01,885206
2010-11-02,916771
2010-11-03,916771
2010-11-04,979049
2010-11-05,923541
2010-11-06,897045
2010-11-07,904373
2010-11-08,864117
2010-11-09,950470
2010-11-10,950470
2010-11-11,978399
2010-11-12,978399
2010-11-13,973203
2010-11-14,921379
2010-11-15,892555
2010-11-16,918972
2010-11-17,893846
2010-11-18,942007
2010-11-19,942007
2010-11-20,936860
2010-11-21,905233
2010-11-22,899782
2010-11-23,891052
2010-11-24,856188
2010-11-25,931833
2010-11-26,931833
2010-11-27,967131
2010-11-28,967131
2010-11-29,948215
2010-11-30,918548
2010-12-01,905944
2010-12-02,894052
2010-12-03,863798
2010-12-04,899248
2010-12-05,899248
2010-12-06,938393
2010-12-07,887912
2010-12-08,867544
2010-12-09,848663
2010-12-10,797838
2010-12-11,851111
2010-12-12,851111
2010-12-13,907129
2010-12-14,907129
2010-12-15,937132
2010-12-16,875550
2010-12-17,853042
2010-12-18,857618
2010-12-19,809052
2010-12-20,902063
2010-12-21,902063
2010-12-22,909710
2010-12-23,872614
2010-12-24,839542
2010-12-25,854388
2010-12-26,839881
2010-12-27,879926
2010-12-28,879926
2010-12-29,868371
2010-12-30,868371
2010-12-31,915956
2011-01-01,892958
2011-01-02,907984
2011-01-03,898726
2011-01-04,877620
2011-01-05,892288
2011-01-06,869689
2011-01-07,896082
2011-01-08,864944
2011-01-09,844014
2011-01-10,864534
2011-01-11,847292
2011-01-12,851372
2011-01-13,851372
2011-01-14,855617
2011-01-15,855617
2011-01-16,911696
2011-01-17,871384
2011-01-18,850306
2011-01-19,866313
2011-01-20,843622
2011-01-21,897457
2011-01-22,897457
2011-01-23,885814
2011-01-24,842830
2011-01-25,815938
2011-01-26,831310
2011-01-27,808569
2011-01-28,858680
2011-01-29,858680
2011-01-30,906411
2011-01-31,906411
2011-02-01,906644
2011-02-02,878177
2011-02-03,838872
2011-02-04,866020
2011-02-05,869293
2011-02-06,877732
2011-02-07,877732
2011-02-08,857789
2011-02-09,844077
2011-02-10,848062
2011-02-11,852956
2011-02-12,838125
2011-02-13,868857
2011-02-14,868857
2011-02-15,884554
2011-02-16,884554
2011-02-17,886607
2011-02-18,866982
2011-02-19,854184
2011-02-20,851991
2011-02-21,837052
2011-02-22,866069
2011-02-23,866069
2011-02-24,872254
2011-02-25,851518
2011-02-26,835477
2011-02-27,840438
2011-02-28,830907
2011-03-01,879323
2011-03-02,879323
2011-03-03,911861
2011-03-04,911861
2011-03-05,896666
2011-03-06,885793
2011-03-07,870509
2011-03-08,854752
2011-03-09,841725
2011-03-10,854155
2011-03-11,854155
2011-03-12,853549
2011-03-13,841662
2011-03-14,818520
2011-03-15,841000
2011-03-16,850760
2011-03-17,896094
2011-03-18,896094
2011-03-19,908126
2011-03-20,908126
2011-03-21,890340
2011-03-22,868993
2011-03-23,848620
2011-03-24,879476
2011-03-25,882941
2011-03-26,903538
2011-03-27,903538
2011-03-28,897324
2011-03-29,880918
2011-03-30,887577
2011-03-31,883952
2011-04-01,859797
2011-04-02,871379
2011-04-03,871379
2011-04-04,893710
2011-04-05,893710
2011-04-06,888937
2011-04-07,889620
2011-04-08,878317
2011-04-09,870177
2011-04-10,870612
2011-04-11,874684
2011-04-12,874684
2011-04-13,908960
2011-04-14,885629
2011-04-15,880299
2011-04-16,871827
2011-04-17,845395
2011-04-18,864312
2011-04-19,864312
2011-04-20,895190
2011-04-21,895190
2011-04-22,916378
2011-04-23,910278
2011-04-24,908964
2011-04-25,917416
2011-04-26,914677
2011-04-28,900283
2011-04-29,908857
2011-05-01,893172
2011-05-02,890307
2011-05-03,861336
2011-05-04,907739
2011-05-05,907739
2011-05-06,939776
2011-05-07,939776
2011-05-08,957861
2011-05-10,911544
2011-05-12,903751
2011-05-13,938742
2011-05-15,936714
2011-05-16,914059
2011-05-17,906810
2011-05-18,894539
2011-05-20,912899
2011-05-21,912899
2011-05-22,963831
2011-05-23,963831
2011-05-24,963492
2011-05-25,940549
2011-05-26,925149
2011-05-27,929175
2011-05-29,954625
2011-05-30,954625
2011-05-31,977786
2011-06-01,947400
2011-06-02,934732
2011-06-03,927836
2011-06-04,898777
2011-06-05,934895
2011-06-06,934895
2011-06-08,954452
2011-06-09,965280
2011-06-10,943467
2011-06-11,937804
2011-06-12,946355
2011-06-14,960091
2011-06-15,960091
2011-06-16,974776
2011-06-17,959722
2011-06-19,952912
2011-06-21,946005
2011-06-22,946005
2011-06-23,968334
2011-06-24,968334
2011-06-25,990011
2011-06-26,966794
2011-06-29,946710
2011-06-30,970401
2011-07-01,970401
2011-07-02,981945
2011-07-03,959646
2011-07-05,946087
2011-07-06,920593
2011-07-07,945364
2011-07-08,945364
2011-07-10,973070
2011-07-11,990043
2011-07-13,953299
2011-07-14,964822
2011-07-15,950395
2011-07-16,987674
2011-07-17,987674
2011-07-19,981425
2011-07-20,976894
2011-07-21,964925
2011-07-22,947529
2011-07-23,953735
2011-07-24,953735
2011-07-25,981927
2011-07-26,981927
2011-07-27,995323
2011-07-28,976539
2011-07-31,950220
2011-08-01,978533
2011-08-04,981097
2011-08-05,973696
2011-08-07,968065
2011-08-08,977055
2011-08-09,977055
2011-08-10,980207
2011-08-11,980207
2011-08-12,962001
2011-08-13,962576
2011-08-14,950633
2011-08-16,955699
2011-08-17,967522
2011-08-19,989492
2011-08-20,975354
2011-08-21,969264
2011-08-22,964454
2011-08-23,948749
2011-08-24,965718
2011-08-25,965718
2011-08-26,984413
2011-08-27,984413
2011-08-28,995228
2011-08-29,978742
2011-08-30,972390
2011-09-01,944733
2011-09-02,958309
2011-09-03,958309
2011-09-05,972074
2011-09-06,972232
2011-09-08,956625
2011-09-09,967849
2011-09-11,980745
2011-09-12,980745
2011-09-13,997356
2011-09-15,977912
2011-09-16,972305
2011-09-17,951568
2011-09-18,968639
2011-09-21,971851
2011-09-23,965071
2011-09-24,949523
2011-09-25,965682
2011-09-26,965682
2011-09-27,962954
2011-09-28,962954
