,0
2010-01-01,994729
2010-01-02,993010
2010-01-03,993010
2010-01-04,994249
2010-01-05,994167
2010-01-06,995781
2010-01-07,993010
2010-01-08,990941
2010-01-09,992132
2010-01-10,992132
2010-01-11,994547
2010-01-12,994547
2010-01-13,993810
2010-01-14,995235
2010-01-15,996372
2010-01-16,994071
2010-01-17,993137
2010-01-18,991934
2010-01-19,991934
2010-01-20,996060
2010-01-21,995861
2010-01-22,996560
2010-01-24,992345
2010-01-25,994712
2010-01-26,994712
2010-01-27,995582
2010-01-28,995582
2010-01-29,996221
2010-01-30,996477
2010-01-31,997292
2010-02-01,995433
2010-02-02,992987
2010-02-03,990612
2010-02-04,990612
2010-02-05,-32000
2010-02-06,991853
2010-02-07,991853
2010-02-08,990528
2010-02-09,990528
2010-02-10,992279
2010-02-11,992279
2010-02-12,992497
2010-02-13,992497
2010-02-14,993680
2010-02-15,994940
2010-02-16,995725
2010-02-17,995591
2010-02-18,994661
2010-02-19,993139
2010-02-20,993139
2010-02-21,992168
2010-02-22,992444
2010-02-23,991535
2010-02-24,992228
2010-02-25,992301
2010-02-26,990287
2010-02-27,990287
2010-02-28,989060
2010-03-01,989060
2010-03-02,992334
2010-03-03,993773
2010-03-04,994269
2010-03-05,996001
2010-03-06,994945
2010-03-07,993623
2010-03-08,993623
2010-03-09,993625
2010-03-10,992168
2010-03-11,992089
2010-03-12,991138
2010-03-13,988556
2010-03-14,988496
2010-03-15,988496
2010-03-16,990798
2010-03-17,990798
2010-03-18,995393
2010-03-19,994377
2010-03-20,994598
2010-03-21,993707
2010-03-22,991409
2010-03-23,988802
2010-03-24,988802
2010-03-25,990294
2010-03-26,990294
2010-03-27,994246
2010-03-28,991429
2010-03-29,987413
2010-03-30,988901
2010-03-31,988901
2010-04-01,991737
2010-04-02,991737
2010-04-03,995102
2010-04-04,994269
2010-04-05,995060
2010-04-06,990903
2010-04-07,987952
2010-04-08,983154
2010-04-09,983154
2010-04-10,987296
2010-04-11,988747
2010-04-12,990544
2010-04-13,991129
2010-04-14,991289
2010-04-15,990115
2010-04-16,990115
2010-04-17,990069
2010-04-18,990069
2010-04-19,988985
2010-04-20,991575
2010-04-21,987770
2010-04-22,988919
2010-04-23,992566
2010-04-24,990299
2010-04-25,990299
2010-04-26,991873
2010-04-27,992695
2010-04-28,995263
2010-04-29,995047
2010-04-30,994630
2010-05-01,992191
2010-05-02,992191
2010-05-03,993562
2010-05-04,993562
2010-05-05,993987
2010-05-06,992577
2010-05-07,991015
2010-05-08,988865
2010-05-09,987087
2010-05-10,988713
2010-05-11,988713
2010-05-12,994342
2010-05-13,993388
2010-05-14,993990
2010-05-15,993853
2010-05-16,992900
2010-05-17,990461
2010-05-18,990461
2010-05-19,991147
2010-05-20,991147
2010-05-21,995390
2010-05-22,994293
2010-05-23,993620
2010-05-24,992651
2010-05-25,989576
2010-05-26,986485
2010-05-27,986485
2010-05-28,992012
2010-05-29,994228
2010-05-30,996292
2010-05-31,990505
2010-06-01,985412
2010-06-02,964634
2010-06-03,964634
2010-06-04,961986
2010-06-05,961986
2010-06-06,980171
2010-06-07,985153
2010-06-08,992816
2010-06-09,988609
2010-06-10,984553
2010-06-11,987022
2010-06-12,987022
2010-06-13,997684
2010-06-14,994821
2010-06-15,994752
2010-06-16,995788
2010-06-17,992775
2010-06-18,995364
2010-06-19,995364
2010-06-20,991616
2010-06-21,991616
2010-06-22,995709
2010-06-23,995286
2010-06-24,996917
2010-06-25,996734
2010-06-26,990478
2010-06-27,989575
2010-06-28,989575
2010-06-29,999644
2010-06-30,997678
2010-07-01,997854
2010-07-02,998253
2010-07-03,995642
2010-07-04,996049
2010-07-05,996049
2010-07-06,991756
2010-07-07,991756
2010-07-08,993806
2010-07-09,996235
2010-07-10,998113
2010-07-11,990223
2010-07-12,985627
2010-07-13,972943
2010-07-14,972943
2010-07-15,978921
2010-07-16,981989
2010-07-17,984510
2010-07-18,986448
2010-07-19,986750
2010-07-20,967978
2010-07-21,967978
2010-07-22,968155
2010-07-23,968155
2010-07-24,992219
2010-07-25,993780
2010-07-26,995889
2010-07-27,995480
2010-07-28,992574
2010-07-29,990640
2010-07-30,990640
2010-07-31,992423
2010-08-01,993682
2010-08-02,994144
2010-08-03,992452
2010-08-04,991671
2010-08-05,978575
2010-08-06,978575
2010-08-07,983080
2010-08-08,983080
2010-08-09,993174
2010-08-10,993286
2010-08-11,993431
2010-08-12,993352
2010-08-13,992638
2010-08-14,992646
2010-08-16,991075
2010-08-17,993080
2010-08-18,993464
2010-08-19,992329
2010-08-20,992368
2010-08-21,992419
2010-08-22,992419
2010-08-23,994993
2010-08-24,994993
2010-08-25,994956
2010-08-26,995858
2010-08-27,996895
2010-08-28,996175
2010-08-29,994822
2010-08-30,996243
2010-08-31,996243
2010-09-01,998105
2010-09-02,999036
2010-09-03,998391
2010-09-04,997422
2010-09-05,996965
2010-09-06,995110
2010-09-07,995110
2010-09-08,997504
2010-09-09,997504
2010-09-10,995317
2010-09-11,997027
2010-09-12,997666
2010-09-13,997061
2010-09-14,997029
2010-09-15,997321
2010-09-16,997321
2010-09-17,998247
2010-09-18,998033
2010-09-19,996000
2010-09-20,1000505
2010-09-21,1000000
2010-09-22,1002175
2010-09-23,1002175
2010-09-24,996040
2010-09-25,996040
2010-09-26,994640
2010-09-27,995416
2010-09-28,996377
2010-09-29,997036
2010-09-30,996669
2010-10-01,996598
2010-10-02,996598
2010-10-03,998722
2010-10-04,998085
2010-10-05,998902
2010-10-06,998726
2010-10-07,998301
2010-10-08,1000000
2010-10-09,1000000
2010-10-10,1000000
2010-10-11,1000000
2010-10-12,999502
2010-10-13,998505
2010-10-14,998186
2010-10-15,998394
2010-10-16,996172
2010-10-17,996250
2010-10-18,996250
2010-10-19,995604
2010-10-20,997199
2010-10-21,997559
2010-10-22,996741
2010-10-23,997942
2010-10-24,994936
2010-10-25,994936
2010-10-26,992978
2010-10-27,992978
2010-10-28,994501
2010-10-29,995558
2010-10-30,996555
2010-10-31,994753
2010-11-01,993587
2010-11-02,992887
2010-11-03,992887
2010-11-04,998612
2010-11-05,997179
2010-11-06,998501
2010-11-07,997987
2010-11-08,994640
2010-11-09,996703
2010-11-10,996703
2010-11-11,999747
2010-11-12,999747
2010-11-13,997486
2010-11-14,997371
2010-11-15,995034
2010-11-16,996083
2010-11-17,996365
2010-11-18,997953
2010-11-19,997953
2010-11-20,998198
2010-11-21,999493
2010-11-22,998949
2010-11-23,1000000
2010-11-24,999673
2010-11-25,997459
2010-11-26,997459
2010-11-27,996179
2010-11-28,996179
2010-11-29,997050
2010-11-30,998360
2010-12-01,998579
2010-12-02,997958
2010-12-03,997775
2010-12-04,993780
2010-12-05,993780
2010-12-06,994322
2010-12-07,996962
2010-12-08,999451
2010-12-09,999269
2010-12-10,999598
2010-12-11,998754
2010-12-12,998754
2010-12-13,998532
2010-12-14,998532
2010-12-15,998089
2010-12-16,999340
2010-12-17,999047
2010-12-18,999085
2010-12-19,999197
2010-12-20,997666
2010-12-21,997666
2010-12-22,995117
2010-12-23,996638
2010-12-24,996777
2010-12-25,996041
2010-12-26,995964
2010-12-27,996954
2010-12-28,996954
2010-12-29,998123
2010-12-30,998123
2010-12-31,993687
2011-01-01,996438
2011-01-02,997030
2011-01-03,997931
2011-01-04,997778
2011-01-05,995619
2011-01-06,994202
2011-01-07,994670
2011-01-08,995382
2011-01-09,997528
2011-01-10,997455
2011-01-11,996870
2011-01-12,997236
2011-01-13,997236
2011-01-14,998522
2011-01-15,998522
2011-01-16,999705
2011-01-17,1000626
2011-01-18,1000000
2011-01-19,998160
2011-01-20,996208
2011-01-21,995690
2011-01-22,995690
2011-01-23,996912
2011-01-24,997683
2011-01-25,997466
2011-01-26,997396
