date,value
6/1/2002,985906
6/2/2002,974115
6/3/2002,980686
6/4/2002,988237
6/5/2002,982253
6/6/2002,980444
6/7/2002,981402
6/8/2002,978996
6/9/2002,991087
6/10/2002,989942
6/11/2002,982447
6/12/2002,984306
6/13/2002,967606
6/14/2002,984088
6/15/2002,983876
6/16/2002,971612
6/17/2002,948235
6/18/2002,973212
6/22/2002,978787
6/23/2002,980546
6/25/2002,990835
6/26/2002,990567
6/27/2002,990413
6/28/2002,984557
6/29/2002,985268
6/30/2002,-32000
7/1/2002,982597
7/2/2002,981395
7/3/2002,980467
7/4/2002,980467
7/5/2002,983772
7/6/2002,983208
7/7/2002,986563
7/8/2002,986563
7/9/2002,985210
7/10/2002,987611
7/11/2002,991952
7/12/2002,993766
7/13/2002,993935
7/14/2002,994145
7/15/2002,994145
7/16/2002,990893
7/17/2002,991404
7/18/2002,993691
7/19/2002,992588
7/20/2002,993161
7/21/2002,992960
7/22/2002,990056
7/23/2002,990690
7/24/2002,990690
7/25/2002,996796
7/26/2002,996907
7/27/2002,996122
7/28/2002,997263
7/29/2002,996357
7/30/2002,996113
7/31/2002,993621
8/1/2002,-32000
8/2/2002,-32000
8/3/2002,-32000
8/4/2002,-32000
8/5/2002,-32000
8/6/2002,-32000
8/7/2002,-32000
8/8/2002,991458
8/9/2002,991458
8/10/2002,994662
8/11/2002,993186
8/12/2002,993633
8/13/2002,996817
8/14/2002,995170
8/15/2002,997171
8/16/2002,997171
8/17/2002,995764
8/18/2002,995697
8/19/2002,995697
8/20/2002,997542
8/21/2002,997117
8/22/2002,994745
8/23/2002,994235
8/24/2002,989696
8/25/2002,989696
8/26/2002,992734
8/27/2002,994360
8/28/2002,995784
8/29/2002,994114
8/30/2002,992696
8/31/2002,991078
9/1/2002,991078
9/2/2002,995341
9/3/2002,993600
9/4/2002,995077
9/5/2002,994526
9/6/2002,992801
9/7/2002,996394
9/8/2002,995699
9/9/2002,997631
9/10/2002,997631
9/11/2002,997168
9/12/2002,996069
9/13/2002,994487
9/14/2002,994487
9/15/2002,993430
9/16/2002,-32000
9/17/2002,-32000
9/18/2002,-32000
9/19/2002,-32000
9/20/2002,995893
9/21/2002,993328
9/22/2002,993328
9/23/2002,993840
9/24/2002,992744
9/25/2002,991934
9/26/2002,991934
9/27/2002,989826
9/28/2002,989826
9/29/2002,-32000
9/30/2002,992081
10/1/2002,992081
10/2/2002,988611
10/3/2002,988611
10/4/2002,990214
10/6/2002,995008
10/7/2002,996162
10/8/2002,995697
10/9/2002,996799
10/10/2002,996258
10/11/2002,994269
10/12/2002,994269
10/13/2002,996224
10/14/2002,996767
10/15/2002,998477
10/16/2002,998652
10/17/2002,997485
10/18/2002,998404
10/19/2002,998404
10/20/2002,996391
10/21/2002,996820
10/22/2002,995815
10/23/2002,995238
10/24/2002,995836
10/25/2002,995931
10/26/2002,993422
10/27/2002,990381
10/28/2002,990381
10/29/2002,990067
10/30/2002,991362
10/31/2002,992993
11/1/2002,992868
11/2/2002,992050
11/3/2002,992978
11/4/2002,993515
11/5/2002,990255
11/6/2002,989228
11/7/2002,989513
11/8/2002,990381
11/9/2002,990732
11/10/2002,993468
11/11/2002,994090
11/12/2002,991330
11/13/2002,991330
11/14/2002,987043
11/15/2002,983424
11/16/2002,981773
11/17/2002,984053
11/18/2002,981843
11/19/2002,988015
11/20/2002,988516
11/21/2002,986998
11/22/2002,984636
11/23/2002,987198
11/24/2002,986419
11/25/2002,985350
11/26/2002,987590
11/27/2002,985462
11/28/2002,988575
11/29/2002,988575
11/30/2002,990376
12/1/2002,987893
12/2/2002,987973
12/3/2002,987559
12/4/2002,984090
12/5/2002,984824
12/6/2002,985330
12/8/2002,990783
12/9/2002,993406
12/10/2002,992691
12/11/2002,992308
12/12/2002,994727
12/13/2002,995282
12/14/2002,996950
12/15/2002,996950
12/16/2002,992081
12/17/2002,989524
12/18/2002,985566
12/19/2002,986981
12/20/2002,986021
12/21/2002,985064
12/22/2002,985939
12/23/2002,986619
12/24/2002,987447
12/25/2002,990671
12/26/2002,989039
12/27/2002,988382
12/28/2002,984935
12/29/2002,981940
12/30/2002,985752
12/31/2002,985752
1/1/2003,988714
1/2/2003,988669
