date,value
6/1/2002,992647
6/2/2002,974894
6/3/2002,987117
6/4/2002,989854
6/5/2002,991804
6/6/2002,936062
6/7/2002,978536
6/8/2002,982199
6/9/2002,983817
6/10/2002,989258
6/11/2002,986214
6/12/2002,988173
6/13/2002,977974
6/14/2002,981661
6/15/2002,977691
6/16/2002,982986
6/17/2002,916474
6/18/2002,972209
6/22/2002,950211
6/23/2002,948395
6/25/2002,970726
6/26/2002,971585
6/27/2002,970675
6/28/2002,971078
6/29/2002,971078
6/30/2002,-32000
7/1/2002,963736
7/2/2002,971110
7/3/2002,970850
7/4/2002,970850
7/5/2002,973769
7/6/2002,970943
7/7/2002,949645
7/8/2002,949645
7/9/2002,949508
7/10/2002,953844
7/11/2002,965569
7/12/2002,966267
7/13/2002,964919
7/14/2002,967909
7/15/2002,967909
7/16/2002,970799
7/17/2002,968925
7/18/2002,974245
7/19/2002,972076
7/20/2002,971058
7/21/2002,950749
7/22/2002,935147
7/23/2002,931097
7/24/2002,931097
7/25/2002,928581
7/26/2002,937334
7/27/2002,926649
7/28/2002,938003
7/29/2002,958065
7/30/2002,960703
7/31/2002,960703
8/1/2002,-32000
8/2/2002,-32000
8/3/2002,-32000
8/4/2002,-32000
8/5/2002,-32000
8/6/2002,-32000
8/7/2002,-32000
8/8/2002,979629
8/9/2002,979629
8/10/2002,981067
8/11/2002,949120
8/12/2002,931646
8/13/2002,944316
8/14/2002,927403
8/15/2002,969373
8/16/2002,969373
8/17/2002,972346
8/18/2002,972092
8/19/2002,975296
8/20/2002,975038
8/21/2002,975058
8/22/2002,974305
8/23/2002,970998
8/24/2002,972207
8/25/2002,972137
8/26/2002,970034
8/27/2002,962022
8/28/2002,954223
8/29/2002,940887
8/30/2002,927171
8/31/2002,923784
9/1/2002,923784
9/2/2002,957903
9/3/2002,953114
9/4/2002,964786
9/5/2002,968786
9/6/2002,965047
9/7/2002,977008
9/8/2002,979553
9/9/2002,962885
9/10/2002,962885
9/11/2002,957782
9/12/2002,963837
9/13/2002,972992
9/14/2002,972992
9/15/2002,974826
9/16/2002,-32000
9/17/2002,-32000
9/18/2002,-32000
9/19/2002,-32000
9/20/2002,954441
9/21/2002,958420
9/22/2002,958420
9/23/2002,961542
9/24/2002,963250
9/25/2002,964724
9/26/2002,964724
9/27/2002,960988
9/28/2002,960988
9/29/2002,-32000
9/30/2002,968994
10/1/2002,968994
10/2/2002,966558
10/3/2002,966558
10/4/2002,971476
10/6/2002,976843
10/7/2002,963626
10/8/2002,957948
10/9/2002,950017
10/10/2002,938613
10/11/2002,959184
10/12/2002,959184
10/13/2002,965417
10/14/2002,965353
10/15/2002,968710
10/16/2002,967647
10/17/2002,965130
10/18/2002,960167
10/19/2002,960167
10/20/2002,961707
10/21/2002,957428
10/22/2002,957824
10/23/2002,959936
10/24/2002,956955
10/25/2002,966123
10/26/2002,970896
10/27/2002,971478
10/28/2002,971478
10/29/2002,966775
10/30/2002,966342
10/31/2002,966353
11/1/2002,966063
11/2/2002,965720
11/3/2002,967256
11/4/2002,967256
11/5/2002,970347
11/6/2002,969821
11/7/2002,970345
11/8/2002,970382
11/9/2002,969794
11/10/2002,972415
11/11/2002,973503
11/12/2002,974290
11/13/2002,974290
11/14/2002,974200
11/15/2002,973844
11/16/2002,974160
11/17/2002,975103
11/18/2002,974528
11/19/2002,976683
11/20/2002,976683
11/21/2002,975136
11/22/2002,975910
11/23/2002,976791
11/24/2002,976896
11/25/2002,976227
11/26/2002,976273
11/27/2002,975277
11/28/2002,977981
11/29/2002,977981
11/30/2002,980952
12/1/2002,981079
12/2/2002,980641
12/3/2002,978680
12/4/2002,978862
12/5/2002,975298
12/6/2002,975298
12/8/2002,980277
12/9/2002,982957
12/10/2002,983700
12/11/2002,984334
12/12/2002,976527
12/13/2002,972876
12/14/2002,967912
12/15/2002,967912
12/16/2002,978210
12/17/2002,979040
12/18/2002,980609
12/19/2002,979436
12/20/2002,978771
12/21/2002,977641
12/22/2002,977641
12/23/2002,976554
12/24/2002,975564
12/25/2002,975355
12/26/2002,975336
12/27/2002,974836
12/28/2002,976503
