date,value
6/1/2002,982769
6/2/2002,985401
6/3/2002,989813
6/4/2002,983804
6/5/2002,998913
6/6/2002,984766
6/7/2002,985014
6/8/2002,985227
6/9/2002,983421
6/10/2002,967037
6/11/2002,983879
6/12/2002,980921
6/13/2002,989273
6/14/2002,989825
6/15/2002,986472
6/16/2002,987177
6/17/2002,907956
6/18/2002,968063
6/22/2002,987578
6/23/2002,984973
6/25/2002,978209
6/26/2002,976366
6/27/2002,973566
6/28/2002,975515
6/29/2002,975515
6/30/2002,-32000
7/1/2002,956885
7/2/2002,956885
7/3/2002,968481
7/4/2002,968481
7/5/2002,971563
7/6/2002,971563
7/7/2002,955585
7/8/2002,950813
7/9/2002,943705
7/10/2002,948205
7/11/2002,949693
7/12/2002,960219
7/13/2002,967243
7/14/2002,971661
7/15/2002,971661
7/16/2002,973028
7/17/2002,973395
7/18/2002,976390
7/19/2002,974714
7/20/2002,973193
7/21/2002,968120
7/22/2002,968120
7/23/2002,968114
7/24/2002,970521
7/25/2002,986680
7/26/2002,983294
7/27/2002,984713
7/28/2002,982956
7/29/2002,971916
7/30/2002,969990
7/31/2002,969990
8/1/2002,-32000
8/2/2002,-32000
8/3/2002,-32000
8/4/2002,-32000
8/5/2002,-32000
8/6/2002,-32000
8/7/2002,-32000
8/8/2002,979537
8/9/2002,983698
8/10/2002,983009
8/11/2002,969722
8/12/2002,966718
8/13/2002,963392
8/14/2002,952090
8/15/2002,971882
8/16/2002,971882
8/17/2002,972077
8/18/2002,971166
8/19/2002,971793
8/20/2002,965250
8/21/2002,960652
8/22/2002,951257
8/23/2002,951257
8/24/2002,926216
8/25/2002,936178
8/26/2002,934389
8/27/2002,934496
8/28/2002,943671
8/29/2002,937552
8/30/2002,932743
8/31/2002,951864
9/1/2002,951864
9/2/2002,959477
9/3/2002,956055
9/4/2002,952760
9/5/2002,955322
9/6/2002,947824
9/7/2002,965626
9/8/2002,965626
9/9/2002,960859
9/10/2002,959051
9/11/2002,950007
9/12/2002,951104
9/13/2002,950099
9/14/2002,946894
9/15/2002,952808
9/16/2002,-32000
9/17/2002,-32000
9/18/2002,-32000
