date,Mean discharge
1/1/2008,149.6999969
1/2/2008,151.8999939
1/3/2008,136.5
1/4/2008,125.9000015
1/5/2008,135.3999939
1/6/2008,152.3000031
1/7/2008,169.1000061
1/8/2008,182.1000061
1/9/2008,187.6999969
1/10/2008,185.5
1/11/2008,173.8999939
1/12/2008,158.1000061
1/13/2008,145.8000031
1/14/2008,138
1/15/2008,133.6999969
1/16/2008,131.3000031
1/17/2008,123.0999985
1/18/2008,116.3000031
1/19/2008,115.6999969
1/20/2008,119.6999969
1/21/2008,125.1999969
1/22/2008,132.6000061
1/23/2008,133.8999939
1/24/2008,122.9000015
1/25/2008,123.0999985
1/26/2008,141.6999969
1/27/2008,166.1999969
1/28/2008,179.8000031
1/29/2008,176
1/30/2008,164.5
1/31/2008,146.1000061
2/1/2008,137.8999939
2/2/2008,144
2/3/2008,163.6000061
2/4/2008,182.1999969
2/5/2008,184.3999939
2/6/2008,173.3000031
2/7/2008,160.1000061
2/8/2008,156.1000061
2/9/2008,166.1999969
2/10/2008,174.8000031
2/11/2008,180.3000031
2/12/2008,185.3999939
2/13/2008,181.8000031
2/14/2008,164
2/15/2008,152.6999969
2/16/2008,153.3000031
2/17/2008,170.1999969
2/18/2008,182.5
2/19/2008,183.5
2/20/2008,171
2/21/2008,158.6999969
2/22/2008,160.3999939
2/23/2008,177.8000031
2/24/2008,202.6000061
2/25/2008,219.1000061
2/26/2008,218.8000031
2/27/2008,210.8999939
2/28/2008,199.1000061
2/29/2008,192.1000061
3/1/2008,189
3/2/2008,182.3000031
3/3/2008,171.1999969
3/4/2008,155
3/5/2008,145.6000061
3/6/2008,143.3999939
3/7/2008,146.5
3/8/2008,162.6999969
3/9/2008,170.1999969
3/10/2008,161.3000031
3/11/2008,155.6000061
3/12/2008,153.3999939
3/13/2008,156.1999969
3/14/2008,171.6000061
3/15/2008,195.6999969
3/16/2008,224.6000061
3/17/2008,230.3999939
3/18/2008,203.5
3/19/2008,181.6999969
3/20/2008,171
3/21/2008,179.5
3/22/2008,197.8000031
3/23/2008,200.6999969
3/24/2008,198.6000061
3/25/2008,193.5
3/26/2008,197.6000061
3/27/2008,198.6000061
3/28/2008,196.3999939
3/29/2008,203.3999939
3/30/2008,196.6999969
3/31/2008,192.8999939
4/1/2008,200.3000031
4/2/2008,199.1999969
4/3/2008,192.3999939
4/4/2008,194.1000061
4/5/2008,207.5
4/6/2008,225.1000061
4/7/2008,246
4/8/2008,256.7999878
4/9/2008,238.1999969
4/10/2008,216.8999939
4/11/2008,195.1999969
4/12/2008,218.1999969
4/13/2008,258.5
4/14/2008,270.5
4/15/2008,250.8000031
4/16/2008,239.6999969
4/17/2008,232.3000031
4/18/2008,226.1999969
4/19/2008,238.6000061
4/20/2008,252.6000061
4/21/2008,251.1999969
4/22/2008,237.6999969
4/23/2008,218.3999939
4/24/2008,201.1999969
4/25/2008,187
4/26/2008,180.3000031
4/27/2008,175.6000061
4/28/2008,172.6000061
4/29/2008,175.6999969
4/30/2008,171.8999939
5/1/2008,184
5/2/2008,205.1000061
5/3/2008,212.1999969
5/4/2008,215.8000031
5/5/2008,219.3999939
5/6/2008,228.3999939
5/7/2008,241.8999939
5/8/2008,242.3000031
5/9/2008,250.6999969
5/10/2008,251.6999969
5/11/2008,238.5
5/12/2008,226.1000061
5/13/2008,215
5/14/2008,207.8000031
5/15/2008,193.6000061
5/16/2008,184.8000031
5/17/2008,186.1999969
5/18/2008,198.8999939
5/19/2008,208.8000031
5/20/2008,201
5/21/2008,185.5
5/22/2008,174.1000061
5/23/2008,175.6999969
5/24/2008,182.6999969
5/25/2008,202.1999969
5/26/2008,217.1000061
5/27/2008,209.3999939
5/28/2008,186.6999969
5/29/2008,164.3999939
5/30/2008,156
5/31/2008,153.1000061
6/1/2008,162
6/2/2008,209.5
6/3/2008,327.8999939
6/4/2008,275.7999878
6/5/2008,237.1999969
6/6/2008,226.3000031
6/7/2008,218.8999939
6/8/2008,215.1000061
6/9/2008,209.6000061
6/10/2008,201.8999939
6/11/2008,194.1000061
6/12/2008,193.1000061
6/13/2008,198.3999939
6/14/2008,225.8999939
6/15/2008,264
6/16/2008,290.3999939
6/17/2008,297.2000122
6/18/2008,322.7999878
6/19/2008,382.7000122
6/20/2008,407.5
6/21/2008,385.7999878
6/22/2008,402.3999939
6/23/2008,439.3999939
6/24/2008,460.2999878
6/25/2008,435.2999878
6/26/2008,439.2999878
6/27/2008,498.3999939
6/28/2008,562.4000244
6/29/2008,614.2000122
6/30/2008,640.0999756
7/1/2008,633
7/2/2008,615
7/3/2008,636.4000244
7/4/2008,744.7000122
7/5/2008,766.2999878
7/6/2008,756.0999756
7/7/2008,734.5999756
7/8/2008,725.4000244
7/9/2008,772.0999756
7/10/2008,775.0999756
7/11/2008,739.7999878
7/12/2008,719.2000122
7/13/2008,740.7000122
7/14/2008,797.2999878
7/15/2008,764.9000244
7/16/2008,696.7000122
7/17/2008,637.4000244
7/18/2008,590.2999878
7/19/2008,573.2999878
7/20/2008,649.2000122
7/21/2008,931.2999878
7/22/2008,1329
7/23/2008,1238
7/24/2008,1134
7/25/2008,1062
7/26/2008,998
7/27/2008,931.7000122
7/28/2008,879.5
7/29/2008,854.7000122
7/30/2008,814.7000122
7/31/2008,801
8/1/2008,861
8/2/2008,965.5
8/3/2008,943.4000244
8/4/2008,880
8/5/2008,866.5999756
8/6/2008,886.0999756
8/7/2008,851.5
8/8/2008,824.2999878
8/9/2008,844.4000244
8/10/2008,856.7999878
8/11/2008,845.7999878
8/12/2008,821.0999756
8/13/2008,798.5
8/14/2008,789.7999878
8/15/2008,801.2000122
8/16/2008,828.0999756
8/17/2008,823.0999756
8/18/2008,794.7999878
8/19/2008,779.2000122
8/20/2008,794.9000244
8/21/2008,846.2999878
8/22/2008,934.5
8/23/2008,1087
8/24/2008,1445
8/25/2008,1858
8/26/2008,1960
8/27/2008,1910
8/28/2008,1925
8/29/2008,1912
8/30/2008,1965
8/31/2008,2296
9/1/2008,2466
9/2/2008,2435
9/3/2008,2345
9/4/2008,2344
9/5/2008,2446
9/6/2008,2395
9/7/2008,2195
9/8/2008,2052
9/9/2008,2113
9/10/2008,2256
9/11/2008,2169
9/12/2008,1895
9/13/2008,1765
9/14/2008,1783
9/15/2008,1697
9/16/2008,1478
9/17/2008,1395
9/18/2008,1351
9/19/2008,1303
9/20/2008,1311
9/21/2008,1346
9/22/2008,1353
9/23/2008,1279
9/24/2008,1179
9/25/2008,1140
9/26/2008,1166
9/27/2008,1209
9/28/2008,1203
9/29/2008,1197
9/30/2008,1192
10/1/2008,1175
10/2/2008,1153
10/3/2008,1196
10/4/2008,1326
10/5/2008,1503
10/6/2008,1607
10/7/2008,1633
10/8/2008,1565
10/9/2008,1417
10/10/2008,1291
10/11/2008,1206
10/12/2008,1125
10/13/2008,1047
10/14/2008,925.5999756
10/15/2008,833.4000244
10/16/2008,765.7000122
10/17/2008,739.0999756
10/18/2008,740.9000244
10/19/2008,746.5999756
10/20/2008,751.9000244
10/21/2008,739.2000122
10/22/2008,706.2000122
10/23/2008,672.0999756
10/24/2008,639.5999756
10/25/2008,619
10/26/2008,606.9000244
10/27/2008,584.0999756
10/28/2008,562.9000244
10/29/2008,544.4000244
10/30/2008,524.2999878
10/31/2008,497.6000061
11/1/2008,469.2000122
11/2/2008,453.7000122
11/3/2008,440.6000061
11/4/2008,423.3999939
11/5/2008,398.7000122
11/6/2008,372.7000122
11/7/2008,343.2999878
11/8/2008,316.8999939
11/9/2008,303.7000122
11/10/2008,284.7000122
11/11/2008,266.2999878
11/12/2008,259.7999878
11/13/2008,250.3999939
11/14/2008,241.3999939
11/15/2008,249.1000061
11/16/2008,254.8999939
11/17/2008,254.1000061
11/18/2008,248.6999969
11/19/2008,242.3000031
11/20/2008,236.3000031
