,0
2002-06-01,1.0134412
2002-06-02,1.0237765
2002-06-03,1.0237765
2002-06-04,1.0211897
2002-06-05,1.0186088
2002-06-06,1.0211917
2002-06-07,1.0243921
2002-06-08,1.0213943
2002-06-09,1.0256447
2002-06-10,1.0260817
2002-06-11,1.02437
2002-06-12,1.0267091
2002-06-13,1.0257195
2002-06-14,1.0242525
2002-06-15,1.024881
2002-06-16,1.0249513
2002-06-17,1.0288261
2002-06-18,1.0262017
2002-06-19,1.0256124
2002-06-20,1.0268729
2002-06-21,1.0093921
2002-06-22,1.0223048
2002-06-23,1.01992
2002-06-24,1.0196451
2002-06-25,1.0206198
2002-06-26,1.0232022
2002-06-27,1.0211557
2002-06-28,1.0216597
2002-06-29,1.0220062
2002-06-30,1.0282111
2002-07-01,1.0300509
2002-07-02,1.0267532
2002-07-03,1.0279579
2002-07-04,1.0282543
2002-07-05,1.0299115
2002-07-06,1.0287086
2002-07-07,1.0266954
2002-07-08,1.0424318
2002-07-09,1.0400618
2002-07-10,1.0383426
2002-07-11,1.0402741
2002-07-12,1.0399487
2002-07-13,1.0395213
2002-07-14,1.0382304
2002-07-15,1.039232
2002-07-16,1.0363989
2002-07-17,1.0361202
2002-07-18,1.0372453
2002-07-19,1.0367233
2002-07-20,1.0366956
2002-07-21,1.031313
2002-07-22,1.0349114
2002-07-23,1.0424191
2002-07-24,1.0339037
2002-07-25,1.0234929
2002-07-26,1.0321189
2002-07-27,1.0298387
2002-07-28,1.0290351
2002-07-29,1.0303293
2002-07-30,1.0297339
2002-07-31,1.029699
2002-08-01,1.0299207
2002-08-02,1.0297844
2002-08-03,1.0298014
2002-08-04,1.0298356
2002-08-05,1.0298071
2002-08-06,1.0298147
2002-08-07,1.0298191
2002-08-08,1.0247676
2002-08-09,1.0258757
2002-08-10,1.027157
2002-08-11,1.0372235
2002-08-12,1.0300231
2002-08-13,1.0338967
2002-08-14,1.0336937
2002-08-15,1.0358196
2002-08-16,1.034469
2002-08-17,1.0355505
2002-08-18,1.0360922
2002-08-19,1.0353711
2002-08-20,1.0361943
2002-08-21,1.0358857
2002-08-22,1.0369909
2002-08-23,1.036355
2002-08-24,1.0526526
2002-08-25,1.0424213
2002-08-26,1.0385549
2002-08-27,1.044755
2002-08-28,1.0419105
2002-08-29,1.0437256
2002-08-30,1.043462
2002-08-31,1.0207921
2002-09-01,1.0359447
2002-09-02,1.0307786
2002-09-03,1.0363107
2002-09-04,1.0343306
2002-09-05,1.0351372
2002-09-06,1.0352567
2002-09-07,1.032505
2002-09-08,1.0342958
