,2
2002-06-01,
2002-06-02,1.0127143
2002-06-03,1.0127143
2002-06-04,1.0030767
2002-06-05,1.0076233
2002-06-06,1.0078015
2002-06-07,1.0056387
2002-06-08,1.0070218
2002-06-09,1.0086433
2002-06-10,1.0084349
2002-06-11,1.008033
2002-06-12,1.0092139
2002-06-13,1.0085608
2002-06-14,1.0084454
2002-06-15,1.008468
2002-06-16,1.0090897
2002-06-17,1.0059522
2002-06-18,1.0078384
2002-06-19,1.0085584
2002-06-20,1.0074501
2002-06-21,1.0080715
2002-06-22,1.0080262
2002-06-23,1.0069027
2002-06-24,1.0081508
2002-06-25,1.0076929
2002-06-26,1.0087434
2002-06-27,1.0081959
2002-06-28,1.0082108
2002-06-29,1.0083834
2002-06-30,1.0095305
2002-07-01,1.0100892
2002-07-02,1.0124592
2002-07-03,1.0154328
2002-07-04,1.0126519
2002-07-05,1.0135733
2002-07-06,1.0138831
2002-07-07,1.012612
2002-07-08,1.0133563
2002-07-09,1.0123522
2002-07-10,1.0127873
2002-07-11,1.0128313
2002-07-12,1.0132025
2002-07-13,1.0129405
2002-07-14,1.012093
2002-07-15,1.0127453
2002-07-16,1.0118982
2002-07-17,1.0122341
2002-07-18,1.0105146
2002-07-19,1.0113132
2002-07-20,1.0113539
2002-07-21,1.0145855
2002-07-22,1.012412
2002-07-23,1.0133975
2002-07-24,1.013463
2002-07-25,1.0133328
2002-07-26,1.0130723
2002-07-27,1.013289
2002-07-28,1.0128717
2002-07-29,1.0130774
2002-07-30,1.013079
2002-07-31,1.0130093
2002-08-01,1.0130552
2002-08-02,1.0130479
2002-08-03,1.0130374
2002-08-04,1.013047
2002-08-05,1.0130441
2002-08-06,1.0130428
2002-08-07,1.0130447
2002-08-08,1.014726
2002-08-09,1.0136023
2002-08-10,1.0134482
2002-08-11,1.0175025
2002-08-12,1.0148405
2002-08-13,1.0242248
2002-08-14,1.0188441
2002-08-15,1.0175638
2002-08-16,1.0202032
2002-08-17,1.0164235
2002-08-18,1.0162146
2002-08-19,1.0177221
2002-08-20,1.0148616
2002-08-21,1.0162644
2002-08-22,1.0170825
2002-08-23,1.0160675
2002-08-24,1.0151439
2002-08-25,1.0160964
2002-08-26,1.0144703
2002-08-27,1.0156832
2002-08-28,1.0154164
2002-08-29,1.0175124
2002-08-30,1.0162019
2002-08-31,1.0149066
2002-09-01,1.0162066
2002-09-02,1.0139778
2002-09-03,1.0141851
2002-09-04,1.0156021
2002-09-05,1.0132767
2002-09-06,1.0143526
2002-09-07,1.0137618
2002-09-08,1.0137962
2002-09-09,1.0138785
2002-09-10,1.0138122
2002-09-11,1.0130401
2002-09-12,1.0117215
2002-09-13,1.0128565
2002-09-14,1.0125388
2002-09-15,1.0123719
2002-09-16,1.0125891
2002-09-17,1.0124999
2002-09-18,1.0124869
2002-09-19,1.0125253
2002-09-20,1.0090194
2002-09-21,1.0120667
2002-09-22,1.011202
2002-09-23,1.0104085
2002-09-24,1.0112243
2002-09-25,1.0126854
2002-09-26,1.0114369
2002-09-27,1.0109675
2002-09-28,1.0108818
2002-09-29,1.011095
2002-09-30,1.0102984
2002-10-01,1.0107578
2002-10-02,1.010123
2002-10-03,1.0103928
2002-10-04,1.0083573
2002-10-05,1.0091721
2002-10-06,1.0074735
2002-10-07,1.023153
2002-10-08,1.0132134
2002-10-09,1.0127581
2002-10-10,1.0163491
2002-10-11,1.0134531
2002-10-12,1.0141844
2002-10-13,1.0133204
2002-10-14,1.0124903
2002-10-15,1.0133309
2002-10-16,1.0122033
2002-10-17,1.0126747
2002-10-18,1.0124104
2002-10-19,1.0124295
2002-10-20,1.0122162
2002-10-21,1.0110384
2002-10-22,1.0153873
2002-10-23,1.0132082
2002-10-24,1.0132078
2002-10-25,1.014248
2002-10-26,1.0135546
2002-10-27,1.0132004
2002-10-28,1.0136677
2002-10-29,1.0133505
2002-10-30,1.0133374
2002-10-31,1.013452
2002-11-01,1.0138141
2002-11-02,1.0135342
2002-11-03,1.0134015
2002-11-04,1.0135834
2002-11-05,1.0141826
2002-11-06,1.0137407
2002-11-07,1.0203568
2002-11-08,1.014767
2002-11-09,1.0162868
2002-11-10,1.0157562
2002-11-11,1.0156035
2002-11-12,1.0142353
2002-11-13,1.0151986
2002-11-14,1.0138156
2002-11-15,1.0140976
2002-11-16,1.0143709
2002-11-17,1.0138233
2002-11-18,1.0140975
2002-11-19,1.0140976
2002-11-20,1.0140061
2002-11-21,1.0139178
2002-11-22,1.0136179
2002-11-23,1.0170571
2002-11-24,1.0131191
2002-11-25,1.0145974
2002-11-26,1.0149305
2002-11-27,1.0142151
2002-11-28,1.0150336
2002-11-29,1.014726
2002-11-30,1.0142097
2002-12-01,1.0144653
2002-12-02,1.0144674
2002-12-03,1.014456
2002-12-04,1.014463
2002-12-05,1.0137012
2002-12-06,1.014207
2002-12-07,1.0146401
2002-12-08,1.0132083
2002-12-09,1.0135522
2002-12-10,1.012896
2002-12-11,1.0132185
2002-12-12,1.0143676
2002-12-13,1.0134939
2002-12-14,1.0127515
2002-12-15,1.0135372
2002-12-16,1.0136886
2002-12-17,1.013423
2002-12-18,1.0135493
2002-12-19,1.0134895
2002-12-20,1.0134873
2002-12-21,1.0130694
2002-12-22,1.0133492
2002-12-23,1.0128375
2002-12-24,1.0127746
2002-12-25,1.0168588
