date,Mean discharge (Observed),Q sat discharge
1/1/2009,95,104.5999985
1/2/2009,138.1000061,101.8000031
1/3/2009,239,102
1/4/2009,178,108.6999969
1/5/2009,147.6999969,115.1999969
1/6/2009,132.3000031,120.0999985
1/7/2009,125.3000031,119.9000015
1/8/2009,121,117
1/9/2009,120.8000031,112.5
1/10/2009,119.6999969,108
1/11/2009,118.5999985,103.0999985
1/12/2009,117.5,99.31999969
1/13/2009,116.4000015,94.88999939
1/14/2009,118.5,92.69999695
1/15/2009,126.5,91.44000244
1/16/2009,139.1000061,90.75
1/17/2009,142.8000031,97.08000183
1/18/2009,146.1000061,104.1999969
1/19/2009,152.3000031,105.0999985
1/20/2009,154.6000061,103.5
1/21/2009,145,101.1999969
1/22/2009,124,99.37000275
1/23/2009,129.3999939,97.19999695
1/24/2009,147.8000031,93.23999786
1/25/2009,151.6000061,94.55999756
1/26/2009,149.5,93.26999664
1/27/2009,141.5,91.94999695
1/28/2009,126.6999969,90.83999634
1/29/2009,118.3000031,90.23999786
1/30/2009,137.6000061,88.97000122
1/31/2009,160.5,88.11000061
2/1/2009,163.3000031,86.55999756
2/2/2009,158.3000031,85.68000031
2/3/2009,143.3999939,84.69999695
2/4/2009,143.8000031,84.30999756
2/5/2009,152.6000061,84.59999847
2/6/2009,178.1999969,87.97000122
2/7/2009,189.8999939,89.90000153
2/8/2009,192.6000061,88.48999786
2/9/2009,185.5,88.51999664
2/10/2009,167.3999939,96.91000366
2/11/2009,151,137.3999939
2/12/2009,155.8999939,171.3000031
2/13/2009,189.6999969,160.8000031
2/14/2009,194.1000061,155.3999939
2/15/2009,195.1999969,157.6999969
2/16/2009,173.8999939,165.5
2/17/2009,152.3000031,169.3000031
2/18/2009,152.8999939,162.8999939
2/19/2009,182.8999939,151.8000031
2/20/2009,213.1000061,142.8000031
2/21/2009,215.6999969,139.3999939
2/22/2009,225.8000031,145.3999939
2/23/2009,219.8999939,164.5
2/24/2009,180.8000031,177.1999969
2/25/2009,180.5,177.5
2/26/2009,221.6999969,171.8999939
2/27/2009,231.6000061,166.3999939
2/28/2009,237.3999939,172.1000061
3/1/2009,234.8000031,186.6999969
3/2/2009,223.6000061,190.5
3/3/2009,208,184.1999969
3/4/2009,180.3999939,176.1000061
3/5/2009,198.1000061,169.5
3/6/2009,224.8999939,164.1999969
3/7/2009,270.6000061,170.3999939
3/8/2009,276.5,190.3000031
3/9/2009,268.7999878,210.8999939
3/10/2009,256.3999939,218.3000031
3/11/2009,248.8000031,214.3000031
3/12/2009,256.5,207.3000031
3/13/2009,278.2999878,202.6999969
3/14/2009,279.2000122,197.3999939
3/15/2009,296.2000122,189
3/16/2009,292.2999878,178.5
3/17/2009,279.7999878,168.3000031
3/18/2009,275.5,173.8999939
3/19/2009,310.7000122,199.8999939
3/20/2009,301.1000061,221.8999939
3/21/2009,287.7000122,228.6999969
3/22/2009,295,231.8999939
3/23/2009,298.5,235.6999969
3/24/2009,274.3999939,246
3/25/2009,259.5,248.8999939
3/26/2009,264.1000061,249.8000031
3/27/2009,276.6000061,247.5
3/28/2009,267.2000122,251
3/29/2009,272.1000061,250.5
3/30/2009,276.3999939,240.3999939
3/31/2009,272.5,240.6999969
4/1/2009,261,238.1999969
4/2/2009,264.7999878,234.5
4/3/2009,259.2999878,226.5
4/4/2009,264.1000061,222.3000031
4/5/2009,273.8999939,219.6999969
4/6/2009,271.7999878,221.8000031
4/7/2009,254.8000031,245
4/8/2009,246.3000031,252.5
4/9/2009,259.3999939,245.3999939
4/10/2009,265.3999939,239.5
4/11/2009,267.1000061,238.3000031
4/12/2009,276.2999878,242.3999939
4/13/2009,280.3999939,249.1000061
4/14/2009,265.2999878,254.6000061
4/15/2009,253.8999939,258.2999878
4/16/2009,238.6999969,252.6000061
4/17/2009,259,245.3999939
4/18/2009,270.1000061,239.6000061
4/19/2009,263.6000061,239.1999969
4/20/2009,271,247
4/21/2009,275.7999878,254.5
4/22/2009,270.7000122,257.7000122
4/23/2009,306.5,258.7999878
4/24/2009,314.5,263.2000122
4/25/2009,310.2999878,269.2999878
4/26/2009,305.1000061,271.7999878
4/27/2009,302.2000122,271.7000122
4/28/2009,305,266.6000061
